Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[strain]	Term Source REF	Term Accession Number	Characteristics[genotype]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[limiting nutrient]	Term Source REF	Term Accession Number	Factor Value[rate]	Unit	Term Source REF	Term Accession Number
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1820	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
1822	Homo sapiens																	
