####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-10 16:35:03
## Sample: 1820
## Reference: index_star_CHR.tar
####################
#Sequencing Quality#
Total_Reads_in_FASTQ,Pct_Reads_Too_Short,Pct_Reads_Low_Base_Quality,Pct_Reads_High_SNF,Pct_Reads_Filtered_Out,Total_Reads_After_Quality_Filtering,Library
707722148,0,5.56,6.15,11.35,627376812,1820

#Library Quality#
Total_Filtered_Reads,Pct_Contaminating_PhiX_Reads_in_Filtered_R2,Pct_Q30_Bases_in_Filtered_R2,Pct_Assigned_to_Cell_Labels,Pct_Cellular_Reads_Aligned_Uniquely_to_Annotated_Transcriptome,Pct_Cellular_Reads_Aligned_Uniquely_to_Other_Genomic_Regions,Pct_Cellular_Reads_Aligned_Not_Unique,Pct_Cellular_Reads_Unaligned,Library
627376812,0,76.95,80.59,20.45,13.24,4.06,40.47,1820

#Reads and Molecules#
Aligned_Reads_By_Type,Total_Raw_Molecules,Total_RSEC_Molecules,Mean_Raw_Sequencing_Depth,Mean_RSEC_Sequencing_Depth,Sequencing_Saturation,Target_Type
128295210,27142118,24869723,4.73,5.16,90.98,mRNA

#Cells RSEC#
Putative_Cell_Count,Pct_Reads_from_Putative_Cells,Mean_Reads_per_Cell,Mean_Molecules_per_Cell,Median_Molecules_per_Cell,Mean_Targets_per_Cell,Median_Targets_per_Cell,Total_Targets_Detected,Target_Type
13408,92.62,8862.8,1664.36,771,733.95,484,41704,mRNA
