####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-11 13:21:02
## Sample: 1822
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
A1BG,low_depth,7,5,1.4,5,1.4,3.0
A1BG-AS1,low_depth,1,1,1.0,1,1.0,0.0
A1CF,low_depth,213,162,1.31,162,1.31,2.7
A2M,pass,186,44,4.23,41,4.54,10.06
A2M-AS1,low_depth,257,234,1.1,233,1.1,3.67
A2ML1,pass,902,236,3.82,218,4.14,6.39
A2ML1-AS1,low_depth,11,8,1.38,7,1.57,3.0
A2ML1-AS2,low_depth,1,1,1.0,1,1.0,0.0
A2MP1,pass,17,9,1.89,9,1.89,5.0
A3GALT2,pass,147,64,2.3,61,2.41,5.1
A4GALT,pass,1536,331,4.64,309,4.97,8.18
A4GNT,low_depth,2,2,1.0,2,1.0,0.0
AA06,pass,77,15,5.13,12,6.42,11.83
AAAS,pass,2613,608,4.3,572,4.57,8.64
AACS,pass,1340,309,4.34,286,4.69,9.71
AACSP1,low_depth,5,5,1.0,5,1.0,0.0
AADAC,pass,10,5,2.0,5,2.0,6.0
AADACL2,low_depth,4,4,1.0,4,1.0,0.0
AADACL3,low_depth,6,6,1.0,6,1.0,0.0
AADACL4,low_depth,2,1,2.0,1,2.0,2.0
AADACP1,low_depth,2,2,1.0,2,1.0,0.0
AADAT,low_depth,68,32,2.12,31,2.19,3.64
AAGAB,pass,2193,450,4.87,412,5.32,8.64
AAK1,pass,2737,699,3.92,648,4.22,7.27
AAMDC,pass,3033,628,4.83,578,5.25,7.88
AAMP,pass,60806,10454,5.82,9338,6.51,9.65
AANAT,low_depth,3,3,1.0,3,1.0,0.0
AAR2,pass,1962,405,4.84,378,5.19,8.69
AARD,low_depth,28,25,1.12,25,1.12,2.5
AARS,pass,6553,1327,4.94,1215,5.39,9.43
AARS2,pass,253,70,3.61,66,3.83,7.93
AARSD1,pass,37,22,1.68,22,1.68,6.0
AASDH,pass,544,117,4.65,105,5.18,8.2
AASDHPPT,pass,3846,892,4.31,825,4.66,7.25
AASS,pass,241,75,3.21,69,3.49,6.06
