"";"Gene_Type";"gtf_nlc";"gtf_pri";"gtf_chr"
"1";"3prime_overlapping_ncRNA";12;12;12
"2";"antisense";18132;18132;18132
"3";"bidirectional_promoter_lncRNA";1044;1044;1044
"4";"lincRNA";38726;38726;38726
"5";"macro_lncRNA";5;5;5
"6";"processed_transcript";11277;11277;11277
"7";"sense_intronic";1280;1280;1280
"8";"sense_overlapping";150;150;150
"9";"TEC";9643;9643;9643
"10";"IG_C_gene";NA;246;246
"11";"IG_C_pseudogene";NA;5;5
"12";"IG_D_gene";NA;78;78
"13";"IG_D_pseudogene";NA;9;9
"14";"IG_J_gene";NA;64;64
"15";"IG_LV_gene";NA;22;22
"16";"IG_pseudogene";NA;7;7
"17";"IG_V_gene";NA;2000;2000
"18";"IG_V_pseudogene";NA;578;578
"19";"miRNA";NA;6621;6606
"20";"misc_RNA";NA;1686;1686
"21";"Mt_rRNA";NA;6;6
"22";"Mt_tRNA";NA;66;66
"23";"polymorphic_pseudogene";NA;1599;1599
"24";"processed_pseudogene";NA;29521;29518
"25";"protein_coding";NA;1657695;1656706
"26";"pseudogene";NA;299;293
"27";"ribozyme";NA;66;66
"28";"rRNA";NA;1067;1067
"29";"scaRNA";NA;153;153
"30";"scRNA";NA;3;3
"31";"snoRNA";NA;4521;4521
"32";"snRNA";NA;4155;4149
"33";"sRNA";NA;6;6
"34";"TR_C_gene";NA;115;115
"35";"TR_D_gene";NA;18;18
"36";"TR_J_gene";NA;292;292
"37";"TR_J_pseudogene";NA;30;30
"38";"TR_V_gene";NA;1350;1350
"39";"TR_V_pseudogene";NA;115;115
"40";"transcribed_processed_pseudogene";NA;1944;1944
"41";"transcribed_unitary_pseudogene";NA;476;476
"42";"transcribed_unprocessed_pseudogene";NA;3834;3834
"43";"translated_unprocessed_pseudogene";NA;5;5
"44";"unitary_pseudogene";NA;182;182
"45";"unprocessed_pseudogene";NA;11778;11778
