####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-10 16:35:03
## Sample: 1820
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
A1BG,low_depth,6,6,1.0,6,1.0,0.0
A1BG-AS1,low_depth,3,3,1.0,3,1.0,0.0
A1CF,pass,165,101,1.63,100,1.65,4.25
A2M,pass,62,23,2.7,23,2.7,6.57
A2M-AS1,low_depth,91,87,1.05,87,1.05,2.33
A2ML1,pass,743,171,4.35,158,4.7,7.57
A2ML1-AS1,low_depth,6,6,1.0,6,1.0,0.0
A2MP1,pass,20,12,1.67,12,1.67,5.0
A3GALT2,pass,356,100,3.56,97,3.67,8.0
A4GALT,pass,1183,206,5.74,190,6.23,10.37
A4GNT,low_depth,1,1,1.0,1,1.0,0.0
AA06,pass,46,15,3.07,14,3.29,11.67
AAAS,pass,2070,400,5.18,368,5.62,9.96
AACS,pass,803,159,5.05,150,5.35,12.07
AACSP1,low_depth,2,2,1.0,2,1.0,0.0
AADAC,pass,58,13,4.46,12,4.83,7.57
AADACL2,low_depth,5,5,1.0,5,1.0,0.0
AADACL2-AS1,low_depth,1,1,1.0,1,1.0,0.0
AADACL3,low_depth,6,4,1.5,4,1.5,3.0
AADACL4,low_depth,4,4,1.0,4,1.0,0.0
AADACP1,low_depth,1,1,1.0,1,1.0,0.0
AADAT,pass,55,22,2.5,21,2.62,9.5
AAGAB,pass,1444,221,6.53,206,7.01,11.86
AAK1,pass,1716,424,4.05,390,4.4,8.21
AAMDC,pass,1706,324,5.27,301,5.67,9.84
AAMP,pass,42894,6288,6.82,5570,7.7,12.85
AANAT,low_depth,4,4,1.0,4,1.0,0.0
AAR2,pass,959,202,4.75,184,5.21,10.12
AARD,low_depth,24,23,1.04,23,1.04,2.0
AARS,pass,3727,744,5.01,688,5.42,10.59
AARS2,pass,212,43,4.93,40,5.3,15.33
AARSD1,low_depth,16,14,1.14,14,1.14,3.0
AASDH,pass,519,80,6.49,70,7.41,10.55
AASDHPPT,pass,3068,582,5.27,533,5.76,9.8
AASS,pass,139,26,5.35,25,5.56,9.14
AATBC,pass,58,15,3.87,14,4.14,7.29
AATF,pass,4446,969,4.59,899,4.95,9.45
AATK,pass,547,102,5.36,96,5.7,11.02
AB015752.1,low_depth,2,1,2.0,1,2.0,2.0
ABALON,pass,303,65,4.66,61,4.97,9.07
ABAT,pass,246,72,3.42,68,3.62,7.59
ABCA1,pass,95402,14782,6.45,13192,7.23,11.85
ABCA10,pass,97,28,3.46,26,3.73,11.14
ABCA11P,pass,37,12,3.08,12,3.08,7.25
ABCA12,pass,1049,242,4.33,226,4.64,6.49
ABCA13,pass,462,153,3.02,143,3.23,7.79
ABCA17P,pass,59,21,2.81,21,2.81,7.33
ABCA2,low_depth,1478,1380,1.07,1379,1.07,3.36
ABCA3,pass,109,43,2.53,43,2.53,6.5
ABCA4,pass,26,20,1.3,20,1.3,4.0
ABCA5,pass,490,131,3.74,121,4.05,8.53
ABCA6,pass,184,48,3.83,47,3.91,9.56
ABCA7,pass,391,130,3.01,127,3.08,7.44
ABCA8,pass,153,69,2.22,68,2.25,5.47
ABCA9,low_depth,89,52,1.71,52,1.71,3.85
ABCA9-AS1,low_depth,17,17,1.0,17,1.0,0.0
ABCB1,pass,4516,1081,4.18,1005,4.49,6.11
ABCB10,pass,85,24,3.54,23,3.7,7.2
ABCB10P1,low_depth,1,1,1.0,1,1.0,0.0
ABCB11,low_depth,10,9,1.11,9,1.11,2.0
ABCB4,pass,47,28,1.68,27,1.74,6.0
ABCB5,pass,22,10,2.2,10,2.2,7.0
ABCB6,low_depth,14,11,1.27,11,1.27,2.0
ABCB7,pass,1576,257,6.13,232,6.79,11.18
ABCB8,pass,491,141,3.48,129,3.81,8.24
ABCB9,pass,372,115,3.23,103,3.61,8.91
ABCC1,pass,6312,1262,5.0,1159,5.45,8.89
ABCC10,pass,675,189,3.57,184,3.67,6.92
ABCC11,pass,437,94,4.65,88,4.97,11.58
ABCC12,pass,201,64,3.14,57,3.53,6.33
ABCC13,low_depth,58,50,1.16,50,1.16,2.33
ABCC2,pass,211,75,2.81,71,2.97,9.75
ABCC3,pass,1929,466,4.14,445,4.33,9.15
ABCC4,pass,799,160,4.99,143,5.59,9.2
ABCC5,pass,28879,5634,5.13,5151,5.61,9.18
