####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-01-28 23:08:22
## Sample: 7272
## Reference: index_star_CHR_mouse.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
0610005C13Rik,low_depth,1,1,1.0,1,1.0,0.0
0610009B22Rik,pass,1462,94,15.55,73,20.03,24.15
0610009E02Rik,low_depth,4,2,2.0,2,2.0,3.0
0610010F05Rik,pass,757,74,10.23,51,14.84,17.81
0610010K14Rik,low_depth,2,2,1.0,2,1.0,0.0
0610012D04Rik,low_depth,2,2,1.0,2,1.0,0.0
0610012G03Rik,pass,281,37,7.59,28,10.04,17.87
0610030E20Rik,pass,782,71,11.01,55,14.22,17.91
0610033M10Rik,low_depth,1,1,1.0,1,1.0,0.0
0610037L13Rik,pass,438,38,11.53,27,16.22,20.57
0610038B21Rik,pass,79,5,15.8,2,39.5,39.5
0610040B10Rik,pass,29,3,9.67,2,14.5,14.5
0610040F04Rik,low_depth,1,1,1.0,1,1.0,0.0
0610040J01Rik,pass,420,38,11.05,31,13.55,14.89
0610043K17Rik,pass,11,2,5.5,1,11.0,11.0
1010001N08Rik,pass,47,2,23.5,2,23.5,46.0
1110002E22Rik,low_depth,3,1,3.0,1,3.0,3.0
1110002J07Rik,pass,23,1,23.0,1,23.0,23.0
1110002L01Rik,pass,25,3,8.33,2,12.5,24.0
1110003F10Rik,low_depth,2,2,1.0,2,1.0,0.0
1110004F10Rik,pass,1287,150,8.58,129,9.98,13.19
1110006O24Rik,pass,5,2,2.5,2,2.5,4.0
1110008L16Rik,pass,123,14,8.79,12,10.25,16.86
1110008P14Rik,pass,588,43,13.67,35,16.8,22.27
1110012L19Rik,pass,15,1,15.0,1,15.0,15.0
1110017D15Rik,low_depth,1,1,1.0,1,1.0,0.0
1110019D14Rik,pass,31,7,4.43,5,6.2,9.67
1110020A21Rik,pass,27,5,5.4,4,6.75,12.5
1110028F18Rik,pass,12,3,4.0,2,6.0,11.0
