"Cell_Index","UMIs_human"
"1820_Cell_Index100056",6194
"1820_Cell_Index100068",612
"1820_Cell_Index10021",8780
"1820_Cell_Index100230",757
"1820_Cell_Index100460",615
"1820_Cell_Index100494",658
"1820_Cell_Index100678",2074
"1820_Cell_Index100723",509
"1820_Cell_Index100801",830
"1820_Cell_Index100818",709
"1820_Cell_Index10089",651
"1820_Cell_Index10096",818
"1820_Cell_Index100993",3283
"1820_Cell_Index101053",739
"1820_Cell_Index101101",813
"1820_Cell_Index101176",591
"1820_Cell_Index101226",5323
"1820_Cell_Index101262",510
"1820_Cell_Index101295",4715
"1820_Cell_Index1015",747
"1820_Cell_Index101705",1703
"1820_Cell_Index10176",625
"1820_Cell_Index101887",747
"1820_Cell_Index101899",699
"1820_Cell_Index101912",798
"1820_Cell_Index101998",1449
"1820_Cell_Index102098",4543
"1820_Cell_Index102154",824
"1820_Cell_Index102226",1229
"1820_Cell_Index102305",652
"1820_Cell_Index10232",614
"1820_Cell_Index102339",932
"1820_Cell_Index102542",1020
"1820_Cell_Index102645",1080
"1820_Cell_Index102647",1074
"1820_Cell_Index102662",914
"1820_Cell_Index102679",595
"1820_Cell_Index102735",1727
"1820_Cell_Index102759",1025
"1820_Cell_Index103026",986
"1820_Cell_Index103148",658
"1820_Cell_Index103165",4654
"1820_Cell_Index103174",985
"1820_Cell_Index103378",637
"1820_Cell_Index103438",802
"1820_Cell_Index10349",670
"1820_Cell_Index103528",712
"1820_Cell_Index103577",801
"1820_Cell_Index103686",4330
"1820_Cell_Index103741",1022
"1820_Cell_Index103755",618
"1820_Cell_Index103839",1068
"1820_Cell_Index103871",918
"1820_Cell_Index10394",7370
"1820_Cell_Index104095",657
"1820_Cell_Index104243",1346
"1820_Cell_Index104287",4002
"1820_Cell_Index104295",881
"1820_Cell_Index104315",692
"1820_Cell_Index104346",1261
"1820_Cell_Index104402",515
"1820_Cell_Index104414",893
"1820_Cell_Index104420",539
"1820_Cell_Index104462",887
"1820_Cell_Index104500",686
"1820_Cell_Index104516",508
"1820_Cell_Index104550",700
"1820_Cell_Index104670",575
"1820_Cell_Index104718",720
"1820_Cell_Index104730",876
"1820_Cell_Index104801",782
"1820_Cell_Index104837",657
"1820_Cell_Index104948",1065
"1820_Cell_Index10499",574
"1820_Cell_Index10501",889
"1820_Cell_Index105051",1440
"1820_Cell_Index105111",966
"1820_Cell_Index105178",1101
"1820_Cell_Index105247",562
"1820_Cell_Index105262",8610
"1820_Cell_Index10527",869
"1820_Cell_Index105361",931
"1820_Cell_Index105380",921
"1820_Cell_Index105639",974
"1820_Cell_Index105708",882
"1820_Cell_Index105715",874
"1820_Cell_Index105753",1814
"1820_Cell_Index105757",978
"1820_Cell_Index10576",6935
"1820_Cell_Index105794",1762
"1820_Cell_Index105814",667
"1820_Cell_Index106036",1363
"1820_Cell_Index106067",818
"1820_Cell_Index106170",1388
"1820_Cell_Index106173",823
"1820_Cell_Index106234",986
"1820_Cell_Index106395",702
"1820_Cell_Index106475",1847
"1820_Cell_Index106484",855
"1820_Cell_Index106492",829
"1820_Cell_Index106509",1410
"1820_Cell_Index106520",1985
"1820_Cell_Index106561",1562
"1820_Cell_Index106570",16440
"1820_Cell_Index106624",1491
