"Cell_Index","UMIs_human","UMIs_mouse","Labels"
"1820_Cell_Index100056",6194,15049,"mainly_mouse"
"1820_Cell_Index100068",612,2151,"mainly_mouse"
"1820_Cell_Index100174",0,1434,"unique_mouse"
"1820_Cell_Index100188",0,1471,"unique_mouse"
"1820_Cell_Index10021",8780,21140,"mainly_mouse"
"1820_Cell_Index100230",757,2229,"mainly_mouse"
"1820_Cell_Index100443",0,1066,"unique_mouse"
"1820_Cell_Index100460",615,1942,"mainly_mouse"
"1820_Cell_Index100494",658,2194,"mainly_mouse"
"1820_Cell_Index100678",2074,6006,"mainly_mouse"
"1820_Cell_Index100699",0,545,"unique_mouse"
"1820_Cell_Index100723",509,1462,"mainly_mouse"
"1820_Cell_Index100769",0,1289,"unique_mouse"
"1820_Cell_Index100777",0,938,"unique_mouse"
"1820_Cell_Index100801",830,2551,"mainly_mouse"
"1820_Cell_Index100818",709,2021,"mainly_mouse"
"1820_Cell_Index10089",651,1985,"mainly_mouse"
"1820_Cell_Index100915",0,966,"unique_mouse"
"1820_Cell_Index10096",818,2206,"mainly_mouse"
"1820_Cell_Index100993",3283,8863,"mainly_mouse"
"1820_Cell_Index100996",0,1186,"unique_mouse"
"1820_Cell_Index101053",739,2047,"mainly_mouse"
"1820_Cell_Index101101",813,2485,"mainly_mouse"
"1820_Cell_Index101176",591,1801,"mainly_mouse"
"1820_Cell_Index101226",5323,13339,"mainly_mouse"
"1820_Cell_Index101262",510,1547,"mainly_mouse"
"1820_Cell_Index101295",4715,11400,"mainly_mouse"
"1820_Cell_Index1015",747,2251,"mainly_mouse"
"1820_Cell_Index101705",1703,5283,"mainly_mouse"
"1820_Cell_Index10176",625,1846,"mainly_mouse"
"1820_Cell_Index101887",747,2119,"mainly_mouse"
"1820_Cell_Index101899",699,2204,"mainly_mouse"
"1820_Cell_Index101905",0,1253,"unique_mouse"
"1820_Cell_Index101912",798,2207,"mainly_mouse"
"1820_Cell_Index101990",0,932,"unique_mouse"
"1820_Cell_Index101998",1449,0,"unique_human"
"1820_Cell_Index102098",4543,11123,"mainly_mouse"
"1820_Cell_Index102154",824,2510,"mainly_mouse"
"1820_Cell_Index102200",0,607,"unique_mouse"
"1820_Cell_Index102226",1229,3240,"mainly_mouse"
"1820_Cell_Index102305",652,2062,"mainly_mouse"
"1820_Cell_Index10232",614,1999,"mainly_mouse"
"1820_Cell_Index102339",932,2748,"mainly_mouse"
"1820_Cell_Index102542",1020,3066,"mainly_mouse"
"1820_Cell_Index102645",1080,2986,"mainly_mouse"
"1820_Cell_Index102647",1074,3168,"mainly_mouse"
"1820_Cell_Index102662",914,2994,"mainly_mouse"
"1820_Cell_Index102679",595,2063,"mainly_mouse"
"1820_Cell_Index102735",1727,0,"unique_human"
"1820_Cell_Index102759",1025,3278,"mainly_mouse"
"1820_Cell_Index103026",986,2979,"mainly_mouse"
"1820_Cell_Index103110",0,809,"unique_mouse"
"1820_Cell_Index103148",658,1985,"mainly_mouse"
"1820_Cell_Index103165",4654,10590,"mainly_mouse"
"1820_Cell_Index103174",985,3040,"mainly_mouse"
"1820_Cell_Index103378",637,1945,"mainly_mouse"
"1820_Cell_Index103438",802,2044,"mainly_mouse"
"1820_Cell_Index10349",670,2229,"mainly_mouse"
"1820_Cell_Index103528",712,2028,"mainly_mouse"
"1820_Cell_Index103577",801,2172,"mainly_mouse"
"1820_Cell_Index103686",4330,11428,"mainly_mouse"
"1820_Cell_Index103741",1022,2672,"mainly_mouse"
"1820_Cell_Index103755",618,1940,"mainly_mouse"
"1820_Cell_Index103819",0,1300,"unique_mouse"
"1820_Cell_Index103839",1068,3514,"mainly_mouse"
"1820_Cell_Index103871",918,2628,"mainly_mouse"
"1820_Cell_Index10394",7370,17748,"mainly_mouse"
"1820_Cell_Index104095",657,1893,"mainly_mouse"
"1820_Cell_Index104243",1346,3671,"mainly_mouse"
"1820_Cell_Index104287",4002,10557,"mainly_mouse"
"1820_Cell_Index104295",881,2572,"mainly_mouse"
"1820_Cell_Index104315",692,2176,"mainly_mouse"
"1820_Cell_Index104346",1261,3791,"mainly_mouse"
"1820_Cell_Index104402",515,1485,"mainly_mouse"
"1820_Cell_Index104414",893,2501,"mainly_mouse"
"1820_Cell_Index104420",539,1717,"mainly_mouse"
"1820_Cell_Index104462",887,2521,"mainly_mouse"
"1820_Cell_Index104485",0,695,"unique_mouse"
"1820_Cell_Index104500",686,2003,"mainly_mouse"
"1820_Cell_Index104516",508,1854,"mainly_mouse"
"1820_Cell_Index104550",700,1902,"mainly_mouse"
"1820_Cell_Index104670",575,1803,"mainly_mouse"
"1820_Cell_Index104718",720,2072,"mainly_mouse"
"1820_Cell_Index104730",876,2718,"mainly_mouse"
"1820_Cell_Index104801",782,2540,"mainly_mouse"
"1820_Cell_Index104837",657,2051,"mainly_mouse"
"1820_Cell_Index104948",1065,2924,"mainly_mouse"
"1820_Cell_Index104977",0,577,"unique_mouse"
"1820_Cell_Index10499",574,1782,"mainly_mouse"
"1820_Cell_Index10501",889,2466,"mainly_mouse"
"1820_Cell_Index105051",1440,4152,"mainly_mouse"
"1820_Cell_Index105111",966,2822,"mainly_mouse"
"1820_Cell_Index105178",1101,3632,"mainly_mouse"
"1820_Cell_Index105238",0,1555,"unique_mouse"
"1820_Cell_Index105247",562,1577,"mainly_mouse"
"1820_Cell_Index105262",8610,19900,"mainly_mouse"
"1820_Cell_Index10527",869,2585,"mainly_mouse"
"1820_Cell_Index105361",931,2514,"mainly_mouse"
"1820_Cell_Index105380",921,2514,"mainly_mouse"
"1820_Cell_Index105399",0,994,"unique_mouse"
"1820_Cell_Index105639",974,2893,"mainly_mouse"
"1820_Cell_Index105696",0,1359,"unique_mouse"
"1820_Cell_Index105708",882,2690,"mainly_mouse"
"1820_Cell_Index105715",874,2683,"mainly_mouse"
"1820_Cell_Index105753",1814,5173,"mainly_mouse"
"1820_Cell_Index105757",978,3138,"mainly_mouse"
"1820_Cell_Index10576",6935,16754,"mainly_mouse"
"1820_Cell_Index105794",1762,5514,"mainly_mouse"
"1820_Cell_Index105814",667,2006,"mainly_mouse"
"1820_Cell_Index106036",1363,4017,"mainly_mouse"
"1820_Cell_Index106067",818,2569,"mainly_mouse"
"1820_Cell_Index106170",1388,3803,"mainly_mouse"
"1820_Cell_Index106173",823,2909,"mainly_mouse"
"1820_Cell_Index106234",986,3012,"mainly_mouse"
"1820_Cell_Index106374",0,1441,"unique_mouse"
"1820_Cell_Index106395",702,2160,"mainly_mouse"
"1820_Cell_Index106475",1847,5448,"mainly_mouse"
"1820_Cell_Index106484",855,2232,"mainly_mouse"
"1820_Cell_Index106492",829,2711,"mainly_mouse"
"1820_Cell_Index106509",1410,3933,"mainly_mouse"
"1820_Cell_Index106520",1985,5499,"mainly_mouse"
"1820_Cell_Index106561",1562,4201,"mainly_mouse"
"1820_Cell_Index106570",16440,35186,"mainly_mouse"
"1820_Cell_Index106624",1491,4032,"mainly_mouse"
"1820_Cell_Index106637",734,2169,"mainly_mouse"
"1820_Cell_Index106969",791,2280,"mainly_mouse"
