"Cell_Index","UMIs_mouse"
"1820_Cell_Index100056",15049
"1820_Cell_Index100068",2151
"1820_Cell_Index100174",1434
"1820_Cell_Index100188",1471
"1820_Cell_Index10021",21140
"1820_Cell_Index100230",2229
"1820_Cell_Index100443",1066
"1820_Cell_Index100460",1942
"1820_Cell_Index100494",2194
"1820_Cell_Index100678",6006
"1820_Cell_Index100699",545
"1820_Cell_Index100723",1462
"1820_Cell_Index100769",1289
"1820_Cell_Index100777",938
"1820_Cell_Index100801",2551
"1820_Cell_Index100818",2021
"1820_Cell_Index10089",1985
"1820_Cell_Index100915",966
"1820_Cell_Index10096",2206
"1820_Cell_Index100993",8863
"1820_Cell_Index100996",1186
"1820_Cell_Index101053",2047
"1820_Cell_Index101101",2485
"1820_Cell_Index101176",1801
"1820_Cell_Index101226",13339
"1820_Cell_Index101262",1547
"1820_Cell_Index101295",11400
"1820_Cell_Index1015",2251
"1820_Cell_Index101705",5283
"1820_Cell_Index10176",1846
"1820_Cell_Index101887",2119
"1820_Cell_Index101899",2204
"1820_Cell_Index101905",1253
"1820_Cell_Index101912",2207
"1820_Cell_Index101990",932
"1820_Cell_Index102098",11123
"1820_Cell_Index102154",2510
"1820_Cell_Index102200",607
"1820_Cell_Index102226",3240
"1820_Cell_Index102305",2062
"1820_Cell_Index10232",1999
"1820_Cell_Index102339",2748
"1820_Cell_Index102542",3066
"1820_Cell_Index102645",2986
"1820_Cell_Index102647",3168
"1820_Cell_Index102662",2994
"1820_Cell_Index102679",2063
"1820_Cell_Index102759",3278
"1820_Cell_Index103026",2979
"1820_Cell_Index103110",809
"1820_Cell_Index103148",1985
"1820_Cell_Index103165",10590
"1820_Cell_Index103174",3040
"1820_Cell_Index103378",1945
"1820_Cell_Index103438",2044
"1820_Cell_Index10349",2229
"1820_Cell_Index103528",2028
"1820_Cell_Index103577",2172
"1820_Cell_Index103686",11428
"1820_Cell_Index103741",2672
"1820_Cell_Index103755",1940
"1820_Cell_Index103819",1300
"1820_Cell_Index103839",3514
"1820_Cell_Index103871",2628
"1820_Cell_Index10394",17748
"1820_Cell_Index104095",1893
"1820_Cell_Index104243",3671
"1820_Cell_Index104287",10557
"1820_Cell_Index104295",2572
"1820_Cell_Index104315",2176
"1820_Cell_Index104346",3791
"1820_Cell_Index104402",1485
"1820_Cell_Index104414",2501
"1820_Cell_Index104420",1717
"1820_Cell_Index104462",2521
"1820_Cell_Index104485",695
"1820_Cell_Index104500",2003
"1820_Cell_Index104516",1854
"1820_Cell_Index104550",1902
"1820_Cell_Index104670",1803
"1820_Cell_Index104718",2072
"1820_Cell_Index104730",2718
"1820_Cell_Index104801",2540
"1820_Cell_Index104837",2051
"1820_Cell_Index104948",2924
"1820_Cell_Index104977",577
"1820_Cell_Index10499",1782
"1820_Cell_Index10501",2466
"1820_Cell_Index105051",4152
"1820_Cell_Index105111",2822
"1820_Cell_Index105178",3632
"1820_Cell_Index105238",1555
"1820_Cell_Index105247",1577
"1820_Cell_Index105262",19900
"1820_Cell_Index10527",2585
"1820_Cell_Index105361",2514
"1820_Cell_Index105380",2514
"1820_Cell_Index105399",994
"1820_Cell_Index105639",2893
"1820_Cell_Index105696",1359
"1820_Cell_Index105708",2690
"1820_Cell_Index105715",2683
"1820_Cell_Index105753",5173
"1820_Cell_Index105757",3138
"1820_Cell_Index10576",16754
"1820_Cell_Index105794",5514
"1820_Cell_Index105814",2006
"1820_Cell_Index106036",4017
"1820_Cell_Index106067",2569
"1820_Cell_Index106170",3803
"1820_Cell_Index106173",2909
"1820_Cell_Index106234",3012
"1820_Cell_Index106374",1441
"1820_Cell_Index106395",2160
"1820_Cell_Index106475",5448
"1820_Cell_Index106484",2232
"1820_Cell_Index106492",2711
"1820_Cell_Index106509",3933
"1820_Cell_Index106520",5499
"1820_Cell_Index106561",4201
"1820_Cell_Index106570",35186
"1820_Cell_Index106624",4032
"1820_Cell_Index106637",2169
"1820_Cell_Index106969",2280
"1820_Cell_Index107011",13470
"1820_Cell_Index107302",1985
"1820_Cell_Index107364",5207
"1820_Cell_Index107384",2469
"1820_Cell_Index107561",2248
"1820_Cell_Index107569",2522
"1820_Cell_Index107633",2714
"1820_Cell_Index107661",1413
"1820_Cell_Index107666",2555
"1820_Cell_Index107776",2297
"1820_Cell_Index10783",1539
"1820_Cell_Index107872",2772
"1820_Cell_Index107879",2150
"1820_Cell_Index1079",2741
"1820_Cell_Index108075",2075
"1820_Cell_Index108188",6801
"1820_Cell_Index108313",2767
"1820_Cell_Index108329",3277
"1820_Cell_Index108427",2306
"1820_Cell_Index108482",4660
"1820_Cell_Index108514",3360
"1820_Cell_Index108598",1751
"1820_Cell_Index108630",4353
"1820_Cell_Index108789",1881
"1820_Cell_Index1088",2907
"1820_Cell_Index108823",1638
"1820_Cell_Index108949",2563
"1820_Cell_Index109081",2224
"1820_Cell_Index109134",2740
"1820_Cell_Index109217",3107
"1820_Cell_Index109318",2181
"1820_Cell_Index109333",1877
"1820_Cell_Index109334",1475
"1820_Cell_Index109344",1940
"1820_Cell_Index109581",3105
"1820_Cell_Index109607",12176
"1820_Cell_Index109724",2324
"1820_Cell_Index109773",2951
"1820_Cell_Index109831",20787
"1820_Cell_Index109910",2609
"1820_Cell_Index109930",1681
"1820_Cell_Index109935",2011
"1820_Cell_Index10995",25827
"1820_Cell_Index109987",1643
"1820_Cell_Index110010",3359
"1820_Cell_Index110022",2403
"1820_Cell_Index110061",2065
"1820_Cell_Index110070",5757
"1820_Cell_Index110175",7658
"1820_Cell_Index110188",3387
"1820_Cell_Index110196",2284
"1820_Cell_Index11032",2080
"1820_Cell_Index110321",2144
"1820_Cell_Index110342",2689
"1820_Cell_Index110397",1853
